year	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1849	7.4043e+00	8.6398e-02	1.6681e-01	7.6472e+05	9.8190e-01	2.7945e+00	2.3063e+00	1.0786e-01	2.1638e-01	1.5794e-01	
1850	7.4351e+00	8.6234e-02	1.6687e-01	7.6524e+05	9.8596e-01	2.7987e+00	2.3260e+00	1.0790e-01	2.1647e-01	1.5795e-01	
1851	7.4269e+00	8.6367e-02	1.6720e-01	7.6437e+05	9.8135e-01	2.7973e+00	2.3241e+00	1.0832e-01	2.1657e-01	1.5780e-01	
1852	7.4321e+00	8.6380e-02	1.6741e-01	7.6626e+05	9.9042e-01	2.7966e+00	2.3205e+00	1.0798e-01	2.1690e-01	1.5766e-01	
1853	7.4349e+00	8.6607e-02	1.6760e-01	7.6448e+05	9.8451e-01	2.7960e+00	2.3304e+00	1.0789e-01	2.1686e-01	1.5762e-01	
1854	7.4340e+00	8.6586e-02	1.6744e-01	7.6651e+05	9.8712e-01	2.7975e+00	2.3232e+00	1.0809e-01	2.1678e-01	1.5745e-01	
1855	7.4212e+00	8.6783e-02	1.6799e-01	7.6415e+05	9.8629e-01	2.8002e+00	2.3090e+00	1.0820e-01	2.1643e-01	1.5724e-01	
1856	7.4586e+00	8.6742e-02	1.6801e-01	7.6606e+05	9.8676e-01	2.8056e+00	2.3391e+00	1.0806e-01	2.1629e-01	1.5731e-01	
1857	7.4281e+00	8.7067e-02	1.6856e-01	7.6524e+05	9.8584e-01	2.8076e+00	2.3079e+00	1.0783e-01	2.1618e-01	1.5758e-01	
1858	7.4628e+00	8.6978e-02	1.6826e-01	7.6476e+05	9.8728e-01	2.8111e+00	2.3379e+00	1.0802e-01	2.1630e-01	1.5753e-01	
1859	7.4436e+00	8.7024e-02	1.6876e-01	7.6523e+05	9.8611e-01	2.8113e+00	2.3173e+00	1.0810e-01	2.1648e-01	1.5723e-01	
1860	7.4539e+00	8.7035e-02	1.6832e-01	7.6496e+05	9.8639e-01	2.8057e+00	2.3337e+00	1.0806e-01	2.1641e-01	1.5701e-01	
1861	7.4294e+00	8.7220e-02	1.6932e-01	7.6441e+05	9.8536e-01	2.8063e+00	2.3102e+00	1.0766e-01	2.1619e-01	1.5714e-01	
1862	7.4491e+00	8.7559e-02	1.6878e-01	7.6443e+05	9.8794e-01	2.8041e+00	2.3290e+00	1.0797e-01	2.1593e-01	1.5718e-01	
1863	7.4544e+00	8.7339e-02	1.6954e-01	7.6549e+05	9.8577e-01	2.8065e+00	2.3314e+00	1.0815e-01	2.1593e-01	1.5702e-01	
1864	7.4454e+00	8.7391e-02	1.6906e-01	7.6382e+05	9.8773e-01	2.8088e+00	2.3201e+00	1.0769e-01	2.1592e-01	1.5688e-01	
1865	7.4613e+00	8.7543e-02	1.7002e-01	7.6554e+05	9.8618e-01	2.8143e+00	2.3297e+00	1.0753e-01	2.1601e-01	1.5697e-01	
1866	7.4582e+00	8.7397e-02	1.6950e-01	7.6425e+05	9.8724e-01	2.8136e+00	2.3280e+00	1.0786e-01	2.1593e-01	1.5706e-01	
1867	7.4694e+00	8.7601e-02	1.7053e-01	7.6552e+05	9.8475e-01	2.8137e+00	2.3396e+00	1.0815e-01	2.1595e-01	1.5680e-01	
1868	7.4661e+00	8.7852e-02	1.6977e-01	7.6255e+05	9.8954e-01	2.8107e+00	2.3343e+00	1.0807e-01	2.1588e-01	1.5645e-01	
1869	7.4600e+00	8.7648e-02	1.7068e-01	7.6497e+05	9.8474e-01	2.8137e+00	2.3290e+00	1.0791e-01	2.1573e-01	1.5646e-01	
1870	7.4622e+00	8.7888e-02	1.7014e-01	7.6315e+05	9.8709e-01	2.8198e+00	2.3243e+00	1.0786e-01	2.1542e-01	1.5671e-01	
1871	7.4809e+00	8.7842e-02	1.7122e-01	7.6487e+05	9.8588e-01	2.8261e+00	2.3361e+00	1.0802e-01	2.1543e-01	1.5671e-01	
1872	7.4896e+00	8.8035e-02	1.7052e-01	7.6278e+05	9.8723e-01	2.8298e+00	2.3373e+00	1.0794e-01	2.1556e-01	1.5643e-01	
1873	7.4852e+00	8.8000e-02	1.7146e-01	7.6436e+05	9.8559e-01	2.8294e+00	2.3346e+00	1.0760e-01	2.1573e-01	1.5620e-01	
1874	7.4725e+00	8.8060e-02	1.7096e-01	7.6248e+05	9.8677e-01	2.8269e+00	2.3249e+00	1.0771e-01	2.1563e-01	1.5641e-01	
1875	7.4943e+00	8.8245e-02	1.7191e-01	7.6419e+05	9.8585e-01	2.8262e+00	2.3471e+00	1.0795e-01	2.1551e-01	1.5638e-01	
1876	7.4749e+00	8.8283e-02	1.7133e-01	7.6267e+05	9.8628e-01	2.8271e+00	2.3261e+00	1.0800e-01	2.1557e-01	1.5614e-01	
1877	7.4832e+00	8.8212e-02	1.7218e-01	7.6401e+05	9.8472e-01	2.8249e+00	2.3381e+00	1.0785e-01	2.1535e-01	1.5586e-01	
1878	7.4979e+00	8.8406e-02	1.7157e-01	7.6303e+05	9.8777e-01	2.8296e+00	2.3448e+00	1.0752e-01	2.1512e-01	1.5602e-01	
1879	7.5056e+00	8.8443e-02	1.7261e-01	7.6297e+05	9.8510e-01	2.8367e+00	2.3481e+00	1.0774e-01	2.1490e-01	1.5627e-01	
1880	7.5006e+00	8.8695e-02	1.7203e-01	7.6289e+05	9.8811e-01	2.8362e+00	2.3405e+00	1.0788e-01	2.1510e-01	1.5614e-01	
1881	7.4898e+00	8.8609e-02	1.7295e-01	7.6261e+05	9.8464e-01	2.8308e+00	2.3372e+00	1.0763e-01	2.1539e-01	1.5573e-01	
1882	7.4974e+00	8.8641e-02	1.7229e-01	7.6221e+05	9.8563e-01	2.8324e+00	2.3430e+00	1.0787e-01	2.1546e-01	1.5557e-01	
1883	7.4885e+00	8.8629e-02	1.7318e-01	7.6275e+05	9.8550e-01	2.8302e+00	2.3365e+00	1.0779e-01	2.1492e-01	1.5570e-01	
1884	7.4797e+00	8.8720e-02	1.7271e-01	7.6229e+05	9.8577e-01	2.8290e+00	2.3297e+00	1.0764e-01	2.1479e-01	1.5558e-01	
1885	7.4792e+00	8.9011e-02	1.7381e-01	7.6254e+05	9.8451e-01	2.8339e+00	2.3228e+00	1.0784e-01	2.1469e-01	1.5545e-01	
1886	7.5150e+00	8.8924e-02	1.7299e-01	7.6235e+05	9.8670e-01	2.8410e+00	2.3500e+00	1.0784e-01	2.1458e-01	1.5532e-01	
1887	7.5145e+00	8.9170e-02	1.7405e-01	7.6238e+05	9.8426e-01	2.8400e+00	2.3516e+00	1.0764e-01	2.1454e-01	1.5549e-01	
1888	7.5052e+00	8.9119e-02	1.7344e-01	7.6180e+05	9.8521e-01	2.8395e+00	2.3436e+00	1.0752e-01	2.1475e-01	1.5545e-01	
1889	7.4975e+00	8.9239e-02	1.7460e-01	7.6133e+05	9.8482e-01	2.8390e+00	2.3355e+00	1.0780e-01	2.1499e-01	1.5514e-01	
1890	7.5074e+00	8.9323e-02	1.7397e-01	7.6169e+05	9.8435e-01	2.8378e+00	2.3459e+00	1.0781e-01	2.1507e-01	1.5472e-01	
1908	7.5129e+00	9.0102e-02	1.7823e-01	7.5998e+05	9.8110e-01	2.8511e+00	2.3382e+00	1.0729e-01	2.1435e-01	1.5322e-01	
1891	7.5059e+00	8.9484e-02	1.7498e-01	7.6159e+05	9.8393e-01	2.8348e+00	2.3492e+00	1.0752e-01	2.1459e-01	1.5476e-01	
1907	7.5120e+00	9.0329e-02	1.7917e-01	7.6032e+05	9.8198e-01	2.8458e+00	2.3417e+00	1.0765e-01	2.1440e-01	1.5346e-01	
1906	7.5155e+00	9.0191e-02	1.7770e-01	7.6064e+05	9.8274e-01	2.8433e+00	2.3478e+00	1.0789e-01	2.1431e-01	1.5359e-01	
1903	7.5123e+00	9.0159e-02	1.7820e-01	7.6013e+05	9.8045e-01	2.8496e+00	2.3413e+00	1.0732e-01	2.1430e-01	1.5365e-01	
1904	7.5045e+00	9.0142e-02	1.7727e-01	7.6021e+05	9.8323e-01	2.8453e+00	2.3336e+00	1.0748e-01	2.1448e-01	1.5347e-01	
1905	7.5110e+00	9.0296e-02	1.7835e-01	7.6032e+05	9.8026e-01	2.8426e+00	2.3461e+00	1.0776e-01	2.1428e-01	1.5363e-01	
1902	7.5185e+00	9.0021e-02	1.7699e-01	7.6036e+05	9.8373e-01	2.8493e+00	2.3443e+00	1.0740e-01	2.1412e-01	1.5400e-01	
1898	7.5059e+00	8.9854e-02	1.7611e-01	7.6073e+05	9.8524e-01	2.8358e+00	2.3456e+00	1.0752e-01	2.1461e-01	1.5423e-01	
1899	7.5131e+00	9.0056e-02	1.7724e-01	7.6029e+05	9.8168e-01	2.8422e+00	2.3473e+00	1.0775e-01	2.1437e-01	1.5387e-01	
1900	7.5149e+00	8.9899e-02	1.7641e-01	7.6079e+05	9.8438e-01	2.8488e+00	2.3404e+00	1.0786e-01	2.1403e-01	1.5401e-01	
1901	7.5051e+00	9.0185e-02	1.7765e-01	7.6023e+05	9.8065e-01	2.8479e+00	2.3350e+00	1.0760e-01	2.1390e-01	1.5418e-01	
1897	7.5084e+00	8.9759e-02	1.7672e-01	7.6041e+05	9.8233e-01	2.8400e+00	2.3469e+00	1.0760e-01	2.1459e-01	1.5451e-01	
1896	7.5062e+00	8.9689e-02	1.7548e-01	7.6068e+05	9.8375e-01	2.8411e+00	2.3413e+00	1.0784e-01	2.1450e-01	1.5456e-01	
1895	7.4980e+00	8.9647e-02	1.7612e-01	7.6074e+05	9.8332e-01	2.8430e+00	2.3312e+00	1.0740e-01	2.1454e-01	1.5440e-01	
