year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1835	-3.3099e-02	7.6107e-02	1.0370e-01	1.8506e-01	2.3089e-01	-7.1309e-01	2.7720e-01	3.4321e-03	-1.3898e-01	-5.8368e-02	
1834	-2.1656e-02	7.6768e-02	1.0332e-01	1.8456e-01	2.2958e-01	-7.1482e-01	2.9160e-01	3.0801e-03	-1.4012e-01	-6.0393e-02	
1836	-3.7409e-03	7.7181e-02	1.0389e-01	1.8558e-01	2.3139e-01	-7.0597e-01	2.8963e-01	4.2038e-03	-1.3689e-01	-5.6577e-02	
1828	-9.1816e-02	7.5833e-02	1.0110e-01	1.8049e-01	2.2077e-01	-7.2824e-01	2.6550e-01	8.0749e-04	-1.4536e-01	-6.5205e-02	
1832	-4.5907e-02	7.6512e-02	1.0248e-01	1.8316e-01	2.2608e-01	-7.1628e-01	2.7892e-01	2.5876e-03	-1.4026e-01	-6.1660e-02	
1830	-8.2198e-02	7.6181e-02	1.0205e-01	1.8201e-01	2.2332e-01	-7.2186e-01	2.5658e-01	1.0295e-03	-1.4096e-01	-6.3102e-02	
1821	-1.4979e-01	7.4384e-02	9.9916e-02	1.7786e-01	2.1763e-01	-7.3912e-01	2.3945e-01	-1.8970e-03	-1.4701e-01	-7.1188e-02	
1839	3.5366e-02	7.6997e-02	1.0513e-01	1.8747e-01	2.3643e-01	-6.9737e-01	3.0193e-01	5.4103e-03	-1.3046e-01	-5.4291e-02	
1838	1.6680e-02	7.7644e-02	1.0471e-01	1.8687e-01	2.3400e-01	-7.0411e-01	2.9549e-01	4.7564e-03	-1.3201e-01	-5.5474e-02	
1824	-1.2853e-01	7.5641e-02	1.0020e-01	1.7889e-01	2.1849e-01	-7.3273e-01	2.4772e-01	-6.7715e-04	-1.4723e-01	-6.9752e-02	
1826	-1.1507e-01	7.5670e-02	1.0038e-01	1.7981e-01	2.1935e-01	-7.3015e-01	2.5656e-01	-2.1748e-04	-1.4779e-01	-6.7697e-02	
1823	-1.2594e-01	7.4416e-02	1.0014e-01	1.7846e-01	2.1853e-01	-7.3202e-01	2.5128e-01	-1.0239e-03	-1.4615e-01	-6.9364e-02	
1829	-9.6395e-02	7.5136e-02	1.0173e-01	1.8127e-01	2.2202e-01	-7.2804e-01	2.5699e-01	5.1123e-04	-1.4305e-01	-6.4339e-02	
1837	4.9912e-03	7.6564e-02	1.0437e-01	1.8590e-01	2.3288e-01	-7.0653e-01	2.9367e-01	4.5409e-03	-1.3462e-01	-5.6077e-02	
1827	-1.1331e-01	7.4715e-02	1.0075e-01	1.8003e-01	2.2014e-01	-7.3224e-01	2.5734e-01	5.0894e-04	-1.4705e-01	-6.6008e-02	
1822	-1.3224e-01	7.5286e-02	9.9932e-02	1.7818e-01	2.1723e-01	-7.3286e-01	2.4896e-01	-1.4579e-03	-1.4576e-01	-6.9690e-02	
1841	7.2166e-02	7.7624e-02	1.0619e-01	1.8944e-01	2.4073e-01	-6.9144e-01	3.1621e-01	7.2581e-03	-1.3015e-01	-5.2095e-02	
1833	-3.9882e-02	7.5855e-02	1.0297e-01	1.8377e-01	2.2853e-01	-7.1665e-01	2.8200e-01	2.8307e-03	-1.4053e-01	-6.1622e-02	
1804	-1.9942e-01	7.3815e-02	9.1404e-02	1.6925e-01	2.1514e-01	-7.3890e-01	2.5181e-01	-7.3975e-03	-1.6271e-01	-8.8158e-02	
1807	-1.6668e-01	7.4369e-02	9.6773e-02	1.7166e-01	2.1731e-01	-7.3165e-01	2.5363e-01	-5.6907e-03	-1.5689e-01	-8.3826e-02	
1802	-2.1840e-01	7.3215e-02	8.8286e-02	1.6839e-01	2.0996e-01	-7.4108e-01	2.5680e-01	-8.8465e-03	-1.6573e-01	-9.2194e-02	
1840	5.4933e-02	7.8098e-02	1.0564e-01	1.8854e-01	2.3750e-01	-6.9413e-01	3.1142e-01	6.6401e-03	-1.3023e-01	-5.3061e-02	
1808	-1.4380e-01	7.4876e-02	9.7274e-02	1.7282e-01	2.1801e-01	-7.3185e-01	2.6922e-01	-4.9672e-03	-1.5509e-01	-8.2238e-02	
1805	-1.7644e-01	7.3994e-02	9.3886e-02	1.7091e-01	2.1619e-01	-7.3505e-01	2.5996e-01	-6.9170e-03	-1.6094e-01	-8.5930e-02	
1803	-2.0477e-01	7.3516e-02	8.9404e-02	1.6899e-01	2.1283e-01	-7.3720e-01	2.5494e-01	-7.9225e-03	-1.6435e-01	-9.0466e-02	
1809	-1.3698e-01	7.4421e-02	9.7757e-02	1.7332e-01	2.1972e-01	-7.3132e-01	2.7000e-01	-4.7913e-03	-1.5444e-01	-8.0804e-02	
1806	-1.7098e-01	7.4327e-02	9.5961e-02	1.7168e-01	2.1596e-01	-7.3282e-01	2.5952e-01	-6.2853e-03	-1.5923e-01	-8.4953e-02	
1825	-1.3157e-01	7.4364e-02	1.0046e-01	1.7924e-01	2.1937e-01	-7.3294e-01	2.4544e-01	-5.9647e-04	-1.4785e-01	-6.9219e-02	
1844	1.2101e-01	7.9209e-02	1.0796e-01	1.9186e-01	2.4714e-01	-6.8462e-01	3.3393e-01	8.8264e-03	-1.2345e-01	-4.6390e-02	
1845	1.3262e-01	7.8665e-02	1.0833e-01	1.9203e-01	2.4759e-01	-6.8043e-01	3.3585e-01	9.0132e-03	-1.2106e-01	-4.5539e-02	
1846	1.5617e-01	7.9672e-02	1.0856e-01	1.9274e-01	2.4854e-01	-6.7745e-01	3.4945e-01	9.7382e-03	-1.1941e-01	-4.5499e-02	
1847	1.5735e-01	7.9002e-02	1.0894e-01	1.9309e-01	2.4919e-01	-6.7388e-01	3.4410e-01	1.0786e-02	-1.1911e-01	-4.4811e-02	
1848	1.6042e-01	7.9851e-02	1.0915e-01	1.9353e-01	2.4900e-01	-6.7431e-01	3.4683e-01	1.1356e-02	-1.1936e-01	-4.3303e-02	
1849	1.5497e-01	7.8984e-02	1.0930e-01	1.9352e-01	2.4914e-01	-6.7568e-01	3.4120e-01	1.1080e-02	-1.1905e-01	-4.1814e-02	
1850	1.5917e-01	7.9941e-02	1.0927e-01	1.9381e-01	2.4773e-01	-6.7742e-01	3.4294e-01	1.1210e-02	-1.1791e-01	-4.1568e-02	
1851	1.6393e-01	7.8787e-02	1.0935e-01	1.9333e-01	2.4817e-01	-6.7950e-01	3.4963e-01	1.1842e-02	-1.1631e-01	-4.1472e-02	
1852	1.5807e-01	7.9781e-02	1.0915e-01	1.9378e-01	2.4581e-01	-6.7971e-01	3.4516e-01	1.1625e-02	-1.1475e-01	-4.1100e-02	
1853	1.5132e-01	7.8756e-02	1.0895e-01	1.9315e-01	2.4431e-01	-6.8204e-01	3.4443e-01	1.1709e-02	-1.1456e-01	-4.0736e-02	
1854	1.5417e-01	7.9652e-02	1.0924e-01	1.9338e-01	2.4320e-01	-6.8210e-01	3.4481e-01	1.2267e-02	-1.1560e-01	-4.1213e-02	
1855	1.3809e-01	7.8325e-02	1.0829e-01	1.9263e-01	2.4160e-01	-6.8267e-01	3.3704e-01	1.2269e-02	-1.1690e-01	-4.1385e-02	
1856	1.3370e-01	7.9347e-02	1.0925e-01	1.9324e-01	2.3973e-01	-6.8888e-01	3.3707e-01	1.1924e-02	-1.1709e-01	-4.0871e-02	
1857	1.0771e-01	7.8286e-02	1.0825e-01	1.9346e-01	2.3840e-01	-6.8964e-01	3.1720e-01	1.1715e-02	-1.1629e-01	-3.9949e-02	
1858	1.1665e-01	7.9365e-02	1.0941e-01	1.9370e-01	2.3821e-01	-6.9171e-01	3.2220e-01	1.2225e-02	-1.1483e-01	-4.0006e-02	
1859	1.1050e-01	7.8152e-02	1.0819e-01	1.9354e-01	2.3712e-01	-6.9296e-01	3.1917e-01	1.2311e-02	-1.1417e-01	-4.0628e-02	
1860	1.2648e-01	7.9293e-02	1.0954e-01	1.9389e-01	2.3715e-01	-6.9067e-01	3.2961e-01	1.2521e-02	-1.1411e-01	-4.0258e-02	
1861	1.3028e-01	7.8304e-02	1.0855e-01	1.9356e-01	2.3755e-01	-6.9003e-01	3.3479e-01	1.2554e-02	-1.1416e-01	-3.9260e-02	
1862	1.3563e-01	7.9504e-02	1.0959e-01	1.9421e-01	2.3807e-01	-6.8892e-01	3.3416e-01	1.3048e-02	-1.1406e-01	-3.8605e-02	
1863	1.5247e-01	7.8515e-02	1.0910e-01	1.9458e-01	2.3876e-01	-6.8676e-01	3.4514e-01	1.3340e-02	-1.1351e-01	-3.8597e-02	
1864	1.5347e-01	7.9800e-02	1.1036e-01	1.9544e-01	2.3985e-01	-6.8742e-01	3.4120e-01	1.3437e-02	-1.1212e-01	-3.8087e-02	
1865	1.6238e-01	7.8979e-02	1.0956e-01	1.9617e-01	2.4122e-01	-6.8293e-01	3.3966e-01	1.3759e-02	-1.0998e-01	-3.6595e-02	
